index,title,temp,time,summary,link
371,,S Korea-AI global partnership,1시간전,"S. Korea becomes founding member of global AI partnership SEOUL, June 1 …",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=001&aid=0011680073
372,,인공지능 디스토피아 막을 국제협의체 탄생...한국도 참여,1시간전,[서울경제] 인공지능(AI) 기술이 인류에게 가져올 명과 암을 균형감 있게 살펴 올바른 방향으로 발전을 유도하기 위한 국제협의체 …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=011&aid=0003753895
373,,'세계 최초 AI협의체' GPAI 공식 창립…한국 등 15개 회원,1시간전,[아시아경제 조슬기나 기자]세계 최초의 인공지능(AI) 협의체인 '인공지능에 대한 글로벌 파트너십(Global Partnersh …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=277&aid=0004698914
374,,"인공지능, 국제 공조시대 열린다…15개국 참여한 'GPAI' 창립",1시간전,(서울=뉴스1) 조소영 기자 = '인공지능(AI)에 대한 글로벌 파트너십(GPAI)' 협의체가 15일 공식 창립됐다. 과학기술정 …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=421&aid=0004697720
375,,AI 국제협의체 'GPAI' 창립…한국·미국 등 15개 국가 참여,1시간전,"""책임성 있고 인간 중심적인 AI 발전과 활용 지지"" 공동선언 (서울=연합뉴스) 정윤주 기자 = 과학기술정보통신부는 책임성 있는 …",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=001&aid=0011680074
376,,"韓참여, 글로벌 AI협의체 발족...""AI로 코로나19 극복 논의""",1시간전,[머니투데이 조성훈 기자] 세계 최초 인공지능 관련 국제 협의체인 GPAI(Global Partnership on AI)가 공식 …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=008&aid=0004425275
377,,"한국, 美·日 등 15개국과 세계 최초 인공지능 협의체 'GPAI' 발족",1시간전,[서울=뉴시스] 이재은 기자 = 과학기술정보통신부는 책임성 있는 인공지능의 발전과 활용을 촉진하기 위한 ‘인공지능에 대한 글로벌 …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=003&aid=0009916252
378,,[인터뷰] 코로나19 변종 초강력 전염성 첫 연구한 재미 최혜련 교수,1시간전,"변이 바이러스 D614G 특성, 세계 첫 분석…세포배양 실험서 10배 전염성 스파이크 단백질 많아 세포침투에 유리…백신개발에는  …",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=001&aid=0011680072
379,,"베이징 2차 파동 연어 탓?…""중국민족주의 희생양되다""",1시간전,(서울=뉴스1) 한상희 기자 = 중국 베이징에서 제2차 신종 코로나바이러스 감염증(코로나19) 파동이 시작되면서 예상치 못한 희 …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=421&aid=0004697719
380,,INDIA PANDEMIC CORONAVIRUS COVID19,1시간전,Marriage amid coronavirus pandemic in Bhopal Bride Angoori (R) wears a  …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=091&aid=0008067966
381,,INDIA PANDEMIC CORONAVIRUS COVID19,2시간전,Marriage amid coronavirus pandemic in Bhopal Bride Angoori wears a face …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=091&aid=0008067959
382,,INDIA PANDEMIC CORONAVIRUS COVID19,2시간전,Marriage amid coronavirus pandemic in Bhopal Bride Angoori wears a face …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=091&aid=0008067958
